NewAdGroupId,SourceAdGroupId,SourceAdId,ClientId,AccountName,CampaignName,New Ad Group,New Headline 1,Apply ?,AdType,AdText
243243243,43496563109,237783538951,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[+Business Energy Helpline] - QS Optimised,,,EXPANDED_TEXT_AD,Compare Business Energy Prices|Review Tariffs then Switch.|Review Tariffs then Switch.
243243243,43496563109,237783538951,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[First Utility +Business Energy] - QS Optimised,,,EXPANDED_TEXT_AD,Compare Business Energy Prices|Review Tariffs then Switch.|Review Tariffs then Switch.
243243243,43496563109,237783538951,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[Scottish Power +Business Energy] - QS Optimised,,,EXPANDED_TEXT_AD,Compare Business Energy Prices|Review Tariffs then Switch.|Review Tariffs then Switch.
243243243,43496563109,237783538951,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[ovo +Business Energy] - QS Optimised,,,EXPANDED_TEXT_AD,Compare Business Energy Prices|Review Tariffs then Switch.|Review Tariffs then Switch.
243243243,44410845312,205119600202,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[uswitch +Commercial energy] - QS Optimised,,,EXPANDED_TEXT_AD,Gas & Electricity for Business|Review Tariffs then Switch.|Review Tariffs then Switch.
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[+business dual fuel comparison] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[+Business Energy Advisor] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[+Business Energy Company] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[+Business Energy Savings] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[compare +Business Energy Online] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[compare my +Business energy] - QS Optimised,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back
