NewAdGroupId,SourceAdGroupId,SourceAdId,ClientId,AccountName,CampaignName,New Ad Group,New Headline 1,Apply ?,AdType,AdText
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[www eonenergy business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,49577922847,237784919934,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[commercial power contracts available]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Compare Commercial Electricity|Review Tariffs then Switch.|Review Tariffs then Switch.|None|None
243243243,49577922847,237784919934,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[sse business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Compare Commercial Electricity|Review Tariffs then Switch.|Review Tariffs then Switch.|None|None
243243243,49577922847,237784919934,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[cheapest commercial power supply]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Compare Commercial Electricity|Review Tariffs then Switch.|Review Tariffs then Switch.|None|None
243243243,49577922847,237784919934,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[npower small buieness]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Compare Commercial Electricity|Review Tariffs then Switch.|Review Tariffs then Switch.|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[business electic]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[business utilities]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[check business energy]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[britishgasbusiness co uk]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,55662560363,330073591365,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[npower cost of electricity]] - Search Query Extracted,,,EXPANDED_TEXT_AD,My Energy Comparison|Compare Business Electricity|Compare Business Electricity|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[britishgas co uk business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[utility warehouse for business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[utilita business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,44889530854,330073591137,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[utilita business]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Business Energy Comparison|Request A Call Back|Request A Call Back|None|None
243243243,49577922847,237784919934,5741344600,My Energy Comparison - LES,My Energy Comparison - Business Energy (Broad),[[bg business services]] - Search Query Extracted,,,EXPANDED_TEXT_AD,Compare Commercial Electricity|Review Tariffs then Switch.|Review Tariffs then Switch.|None|None
